type_nomenclature_code,cd_nomenclature,mnemonique,label_default,definition_default,label_fr,definition_fr,cd_nomenclature_broader,hierarchy
HABITAT_STATUS,1,Favorable,Favorable,État de l'habitat favorable,Favorable,État de l'habitat favorable,0,.001
HABITAT_STATUS,2,Défavorable inadéquat,Défavorable inadéquat,État de l'habitat défavorable inadéquat,Défavorable inadéquat,État de l'habitat défavorable inadéquat,0,.002
HABITAT_STATUS,3,Défavorable,Défavorable,État de l'habitat défavorable,Défavorable,État de l'habitat défavorable,0,.003
INCLINE_TYPE,0,0,0° - Plat,Plat (0),Plat (0),Plat (0),0,.001
INCLINE_TYPE,1,2.5,0+-5° - Labourable,Labourable (>0-5°),Labourable (>0-5°),Labourable (>0-5°),0,.002
INCLINE_TYPE,2,7.5,05-10° - Fauchable,Fauchable (5-10°),Fauchable (5-10°),Fauchable (5-10°),0,.003
INCLINE_TYPE,3,12.5,10-15° - Haut d'un cône de déjection torrentiel,Fauchable (5-10°)Haut d'un cône de déjection torrentiel (10-15°),Fauchable (5-10°)Haut d'un cône de déjection torrentiel (10-15°),Fauchable (5-10°)Haut d'un cône de déjection torrentiel (10-15°),0,.004
INCLINE_TYPE,4,17.5,15-20° - Haut d'un cône d'avalanche,Haut d'un cône d'avalanche (15-20°),Haut d'un cône d'avalanche (15-20°),Haut d'un cône d'avalanche (15-20°),0,.005
INCLINE_TYPE,5,22.5,20-25° - Pied d'éboulis,Pied d'éboulis (20-25°),Pied d'éboulis (20-25°),Pied d'éboulis (20-25°),0,.006
INCLINE_TYPE,6,30,25-35° - Tablier d'éboulis,Tablier d'éboulis (25-35°),Tablier d'éboulis (25-35°),Tablier d'éboulis (25-35°),0,.007
INCLINE_TYPE,7,37.5,35-40° - Sommet d'éboulis,Sommet d'éboulis (35-40°),Sommet d'éboulis (35-40°),Sommet d'éboulis (35-40°),0,.008
INCLINE_TYPE,8,45,40-50° - Rochillon (sans les mains),Rochillon (sans les mains) (40-50°),Rochillon (sans les mains) (40-50°),Rochillon (sans les mains) (40-50°),0,.009
INCLINE_TYPE,9,55,50-60° - Rochillon (avec les mains),Rochillon (avec les mains) (50-60°),Rochillon (avec les mains) (50-60°),Rochillon (avec les mains) (50-60°),0,.010
INCLINE_TYPE,10,90,60° et plus - Vires et barres,Vires et barres (>60°),Vires et barres (>60°),Vires et barres (>60°),0,.011
PHENOLOGY_TYPE,1,1 - Stade végétatif,Stade végétatif,Stade végétatif,Stade végétatif,Stade végétatif,0,.001
PHENOLOGY_TYPE,2,2 - Stade boutons floraux,Stade boutons floraux,Stade boutons floraux,Stade boutons floraux,Stade boutons floraux,0,.002
PHENOLOGY_TYPE,3,3 - Début de floraison,Début de floraison,Début de floraison,Début de floraison,Début de floraison,0,.003
PHENOLOGY_TYPE,4,4 - Pleine floraison,Pleine floraison,Pleine floraison,Pleine floraison,Pleine floraison,0,.004
PHENOLOGY_TYPE,5,5 - Fin de floraison et maturation des fruits,Fin de floraison et maturation des fruits,Fin de floraison et maturation des fruits,Fin de floraison et maturation des fruits,Fin de floraison et maturation des fruits,0,.005
PHENOLOGY_TYPE,6,6 - Dissémination,Dissémination,Dissémination,Dissémination,Dissémination,0,.006
PHENOLOGY_TYPE,7,7 - Stade de décrépitude,Stade de décrépitude,Stade de décrépitude,Stade de décrépitude,Stade de décrépitude,0,.007
PHENOLOGY_TYPE,8,8 - Stade végétatif permanent,Stade végétatif permanent ,Stade végétatif permanent,Stade végétatif permanent,Stade végétatif permanent,0,.008
COUNTING_TYPE,1,Recensement exhaustif,Recensement exhaustif,Recensement exhaustif des taxons présent sur la surface.,Recensement exhaustif,Recensement exhaustif des taxons présent sur la surface.,0,.001
COUNTING_TYPE,2,Échantillonage,Échantillonage,Échantillonage des taxons présent sur la surface.,Échantillonage,Échantillonage des taxons présent sur la surface.,0,.002
COUNTING_TYPE,9,Aucun comptage,Aucun comptage,Aucun comptage,Aucun comptage,Aucun comptage.,0,.003
THREAT_LEVEL,0,0 - Pas de menace,Pas de menace,Aucune menace identifié sur l'aire de présence.,Pas de menace,Aucune menace identifié sur l'aire de présence.,0,.000
THREAT_LEVEL,1,1 - Menace potentielle,Menace potentielle,Présence de potentielles menaces sur l'aire de présence.,Menace potentielle,Présence de potentielles menaces sur l'aire de présence.,0,.001
THREAT_LEVEL,2,2 - Menace imminente,Menace imminente,Présence de menaces imminentes sur l'aire de présence.,Menace imminente,Présence de menaces imminentes sur l'aire de présence.,0,.002
THREAT_LEVEL,3,3 - Perturbation effective,Perturbation effective,Présence de perturbations effectives sur l'aire de présence.,Perturbation effective,Présence de perturbations effectives sur l'aire de présence.,0,.003
FREQUENCY_METHOD,S,Estimation,Estimation,Calcul de la fréquence via une estimation.,Estimation,Calcul de la fréquence via une estimation.,0,.001
FREQUENCY_METHOD,N,Transect,Transect,Calcul de la fréquence à l'aide d'un transect.,Transect,Calcul de la fréquence à l'aide d'un transect.,0,.002
PHYSIOGNOMY_TYPE,HERBA,Herbacée,Strate herbacée,Physionomies de la strate herbacée,Strate herbacée,Physionomies de la strate herbacée,0,.001
PHYSIOGNOMY_TYPE,AL,Alluvions,Alluvions (Végétation herbacée pionnière des),"Formation très ouverte pionnière des alluvions actifs, régulièrement perturbés et alimentés, des torrents, des rivières et des fleuves à régime nival (bilan hydrique largement déficient sur un substrat très drainant), riches en galets mêlés ou non de terre fine.",Alluvions (Végétation herbacée pionnière des),"Formation très ouverte pionnière des alluvions actifs, régulièrement perturbés et alimentés, des torrents, des rivières et des fleuves à régime nival (bilan hydrique largement déficient sur un substrat très drainant), riches en galets mêlés ou non de terre fine.",HERBA,.001.001
PHYSIOGNOMY_TYPE,AQ,Végétation aquatique,Végétation aquatique,"Ensemble vaste de formations végétales strictement aquatiques (non hélophytiques), des eaux stagnantes et courantes, enracinées ou libres, immergées ou submergées. Comprend les herbiers à Sparganium angustifolium des étages subalpin et alpin.",Végétation aquatique,"Ensemble vaste de formations végétales strictement aquatiques (non hélophytiques), des eaux stagnantes et courantes, enracinées ou libres, immergées ou submergées. Comprend les herbiers à Sparganium angustifolium des étages subalpin et alpin.",HERBA,.001.002
PHYSIOGNOMY_TYPE,AR,Autre formation herbacée artificielle,Autre formation herbacée artificielle,à garder ?,Autre formation herbacée artificielle,à garder ?,HERBA,.001.003
PHYSIOGNOMY_TYPE,BM,Bas-marais et marais de transition,Bas-marais et marais de transition,Formation basse dominée par des cypéracées de petites et moyennes taille à nappe d'eau proche ou juste au dessus de la surface. Comprend aussi les formations amphibies franchement aquatiques (ceinture à Eriophorum scheuchzeri) des étages subalpin et alpin.,Bas-marais et marais de transition,Formation basse dominée par des cypéracées de petites et moyennes taille à nappe d'eau proche ou juste au dessus de la surface. Comprend aussi les formations amphibies franchement aquatiques (ceinture à Eriophorum scheuchzeri) des étages subalpin et alpin.,HERBA,.001.004
PHYSIOGNOMY_TYPE,CN,Combe à neige,Combe à neige (Végétation des),"Formation à degré d'ouverture variable des zones longuement enneigées de l'étage alpin (rare au subalpin) souvent dominée par des nanophanérophytes du genre Salix. Substrat variable, formes minérales  caractérisées le tassement des éléments du substrat (fins à moyens)",Combe à neige (Végétation des),"Formation à degré d'ouverture variable des zones longuement enneigées de l'étage alpin (rare au subalpin) souvent dominée par des nanophanérophytes du genre Salix. Substrat variable, formes minérales  caractérisées le tassement des éléments du substrat (fins à moyens)",HERBA,.001.005
PHYSIOGNOMY_TYPE,CU,Cultures,Cultures  (Végétation des),Formation basse et très ouverte dominée par des plantes annuelles (à bisannuelles) des terrains agricoles exploités et les cultures arboricoles à terre retournée.,Cultures  (Végétation des),Formation basse et très ouverte dominée par des plantes annuelles (à bisannuelles) des terrains agricoles exploités et les cultures arboricoles à terre retournée.,HERBA,.001.006
PHYSIOGNOMY_TYPE,DA,Dalles rocheuses,Dalles rocheuses (Végétation pionnière des),"Formation herbacée ouverte pionnière des affleurements rocheux (souvent tabulaires avec pente peu marqué), riche en plantes grasses et à composition mixte vivaces et annuelles. Elle comprend la végétation pionnière des lapiaz vifs",Dalles rocheuses (Végétation pionnière des),"Formation herbacée ouverte pionnière des affleurements rocheux (souvent tabulaires avec pente peu marqué), riche en plantes grasses et à composition mixte vivaces et annuelles. Elle comprend la végétation pionnière des lapiaz vifs",HERBA,.001.007
PHYSIOGNOMY_TYPE,EB,Éboulis,Éboulis (Végétation des),"Formation très ouverte pionnière des éboulis et chaos rocheux, actifs ou stabilisés, comprenant la végétation colonisant les moraines. Formation caractérisée par la (quasi) absence de sol. Ne comprend pas les formations pionnières à saules nains des chaos rocheux longuement enneigés qui sont à coder sous CN (combes à neige)",Éboulis (Végétation des),"Formation très ouverte pionnière des éboulis et chaos rocheux, actifs ou stabilisés, comprenant la végétation colonisant les moraines. Formation caractérisée par la (quasi) absence de sol. Ne comprend pas les formations pionnières à saules nains des chaos rocheux longuement enneigés qui sont à coder sous CN (combes à neige)",HERBA,.001.008
PHYSIOGNOMY_TYPE,EC,Bordure d'eaux courantes,Bordure d'eaux courantes  (Végétation amphibie des),"Formation amphibie vivace dense (petits hélophytes souvent) et entremêlée occupant les petits cours d'eau et leurs berges ainsi que les lones et bras-mort à courant faible (comprend les herbiers à Glyceria, Berula, Apium, Nasturtium et Leersia).",Bordure d'eaux courantes  (Végétation amphibie des),"Formation amphibie vivace dense (petits hélophytes souvent) et entremêlée occupant les petits cours d'eau et leurs berges ainsi que les lones et bras-mort à courant faible (comprend les herbiers à Glyceria, Berula, Apium, Nasturtium et Leersia).",HERBA,.001.009
PHYSIOGNOMY_TYPE,EX,Grèves exondées,Grèves exondées  (Végétation pionnière des),"Formation pionnière annuelle et vivace de petite taille (Eleocharis acicularis, Littorella uniflora, Ludwigia palustris, Juncus bulbosus…) ou plus haute (Polygonum lapathifolium, Bidens pl.sp. etc.). des  zones périodiquement exondées des eaux stagnantes et courantes, végétation à caractère amphibie souvent marqué.",Grèves exondées  (Végétation pionnière des),"Formation pionnière annuelle et vivace de petite taille (Eleocharis acicularis, Littorella uniflora, Ludwigia palustris, Juncus bulbosus…) ou plus haute (Polygonum lapathifolium, Bidens pl.sp. etc.). des  zones périodiquement exondées des eaux stagnantes et courantes, végétation à caractère amphibie souvent marqué.",HERBA,.001.010
PHYSIOGNOMY_TYPE,FO,Végétation fontinale,Végétation fontinale,"Formation en majorité dominée par les bryophytes, avec végétation vasculaire peu diversifiée mais parfois assez recouvrante (Epilobium alsinifolium, Saxifraga aizoides, Carex frigida), colonisant les sources, les bords de ruisselets et les rochers suintants, milieux imbibé en permanence",Végétation fontinale,"Formation en majorité dominée par les bryophytes, avec végétation vasculaire peu diversifiée mais parfois assez recouvrante (Epilobium alsinifolium, Saxifraga aizoides, Carex frigida), colonisant les sources, les bords de ruisselets et les rochers suintants, milieux imbibé en permanence",HERBA,.001.011
PHYSIOGNOMY_TYPE,GH,Grands hélophytes,Grands hélophytes  (Communauté de),"Formation souvent dense de grands hélophytes graminoïdes (roselières au sens large à Phragmites, Phalaris, Typha, Schoenoplectus, Cladium...) comprenant à la fois les communautés franchement aquatique et les communautés terrestres (atterries).",Grands hélophytes  (Communauté de),"Formation souvent dense de grands hélophytes graminoïdes (roselières au sens large à Phragmites, Phalaris, Typha, Schoenoplectus, Cladium...) comprenant à la fois les communautés franchement aquatique et les communautés terrestres (atterries).",HERBA,.001.012
PHYSIOGNOMY_TYPE,HM,Haut-marais,Haut-marais,"Formation mixte bryophytique (sphaignes), herbacée (cypéracée) et sous-arbustive (éricacées) formant un paysage lâchement moutonné de buttes de sphaignes et de creux plus ou moins inondés ",Haut-marais,"Formation mixte bryophytique (sphaignes), herbacée (cypéracée) et sous-arbustive (éricacées) formant un paysage lâchement moutonné de buttes de sphaignes et de creux plus ou moins inondés ",HERBA,.001.013
PHYSIOGNOMY_TYPE,HY,Végétation rase hyperpiétinée,Végétation rase hyperpiétinée,Formation dominée par des plantes annuelles prostrées supportant le piétinement régulier de toute nature,Végétation rase hyperpiétinée,Formation dominée par des plantes annuelles prostrées supportant le piétinement régulier de toute nature,HERBA,.001.014
PHYSIOGNOMY_TYPE,MC,Magnocariçaie,Magnocariçaie,Formation haute dominée par des hélophytes de la famille des cypéracées comprenant à la fois les communautés franchement aquatiques et des communautés terrestres à sol mouillé une partie de l'année.,Magnocariçaie,Formation haute dominée par des hélophytes de la famille des cypéracées comprenant à la fois les communautés franchement aquatiques et des communautés terrestres à sol mouillé une partie de l'année.,HERBA,.001.015
PHYSIOGNOMY_TYPE,MG,Mégaphorbiaie,Mégaphorbiaie,"Formation dense et haute dominée par des dicotylédones à feuillage très recouvrant des milieux frais à humides, riches en éléments minéraux. Comprend aussi les formations montagnardes à subalpines mésophiles composition mixte entre graminées et dicotylédones (Calamagrostis sp. souvent), d’origine naturelle (praires de couloirs d’avalanche). Plaine, montagnard et subalpin. Urtica, Anthriscus, Convolvulus, lisière nitrophiles ?",Mégaphorbiaie,"Formation dense et haute dominée par des dicotylédones à feuillage très recouvrant des milieux frais à humides, riches en éléments minéraux. Comprend aussi les formations montagnardes à subalpines mésophiles composition mixte entre graminées et dicotylédones (Calamagrostis sp. souvent), d’origine naturelle (praires de couloirs d’avalanche). Plaine, montagnard et subalpin. Urtica, Anthriscus, Convolvulus, lisière nitrophiles ?",HERBA,.001.016
PHYSIOGNOMY_TYPE,MU,Murs,Murs  (Végétation anthropique des),Formation colonisant les murs,Murs  (Végétation anthropique des),Formation colonisant les murs,HERBA,.001.017
PHYSIOGNOMY_TYPE,OF,Coupes et ourlets forestiers,Coupes et ourlets forestiers,"Formation intraforestière, constituée de grandes dicotylédones vivaces colonisant les coupes forestières récentes et les clairières à sol riches, ou de dicotylédones moins grande en situation de lisière et de clairière (Aegopodium, … ). Comprend également les formations de lisière intraforestièresd dominées par des graminées (Festuca gigantea, Bromus ramosus / benekenii, Calamagrostis varia, Elytrigia / Roegneria ou encore à Hordelymus europaeus ). A préciser JCV. Comprend les ronciers forestiers. Les formations riveraines à Petasites albus (souvent intraforestières) sont codées sous MG – Mégaphorbiaie. Les formations de lisère humides à Petasites albus sont quant à elles traités ici. ",Coupes et ourlets forestiers,"Formation intraforestière, constituée de grandes dicotylédones vivaces colonisant les coupes forestières récentes et les clairières à sol riches, ou de dicotylédones moins grande en situation de lisière et de clairière (Aegopodium, … ). Comprend également les formations de lisière intraforestièresd dominées par des graminées (Festuca gigantea, Bromus ramosus / benekenii, Calamagrostis varia, Elytrigia / Roegneria ou encore à Hordelymus europaeus ). A préciser JCV. Comprend les ronciers forestiers. Les formations riveraines à Petasites albus (souvent intraforestières) sont codées sous MG – Mégaphorbiaie. Les formations de lisère humides à Petasites albus sont quant à elles traités ici. ",HERBA,.001.018
PHYSIOGNOMY_TYPE,OU,Ourlet maigre,Ourlet maigre,"Formation mésophile à méso-xérophile, peu élevée, développées sur des terrains maigres en bordure externe de végétations arbustives et forestières (conditions héliophiles à hémi-héliophiles) ou colonisant d’ancien espaces agro-pastoraux, dominée par des espèces à développement tardif, parmi lesquels les graminées sont (co-)dominantes. Les formations à Rubus sont codés OU ou OF en fonction de leur situation. Les manteaux arbustifs sont traités dans les fourré quand le recouvrement arbustif > 25 %, < 25 %, ils sont traités ici",Ourlet maigre,"Formation mésophile à méso-xérophile, peu élevée, développées sur des terrains maigres en bordure externe de végétations arbustives et forestières (conditions héliophiles à hémi-héliophiles) ou colonisant d’ancien espaces agro-pastoraux, dominée par des espèces à développement tardif, parmi lesquels les graminées sont (co-)dominantes. Les formations à Rubus sont codés OU ou OF en fonction de leur situation. Les manteaux arbustifs sont traités dans les fourré quand le recouvrement arbustif > 25 %, < 25 %, ils sont traités ici",HERBA,.001.019
PHYSIOGNOMY_TYPE,PA,Pelouse alpine et pâturage d'altitude,Pelouse alpine et pâturage d'altitude,"Formation basse diversifiée à dominante de graminées et de cypéracées peu élevées des étages supérieurs (subalpin et alpin). Recouvrement minéral souvent important, comprend aussi les pelouses rocailleuses de colonisation d'éboulis et des roches altérées. L'altitude est le critère déterminant.",Pelouse alpine et pâturage d'altitude,"Formation basse diversifiée à dominante de graminées et de cypéracées peu élevées des étages supérieurs (subalpin et alpin). Recouvrement minéral souvent important, comprend aussi les pelouses rocailleuses de colonisation d'éboulis et des roches altérées. L'altitude est le critère déterminant.",HERBA,.001.020
PHYSIOGNOMY_TYPE,PH,Prairie humide,Prairie humide,"Formation herbacée d'origine anthropique diversifiée, dense et haute à dominante graminéenne, fauchée et/ou pâturée, humide à mouillée (nappe affleurante) une partie de l'année, périodiquement inondée. Les prairies alluviales à Arrhenatherum elatius à tendance mésohygrophile des niveaux topo supérieurs sont traitées sous PM. Les formations basses méditerranéennes à Deschampsia media sont comprises dans PH.",Prairie humide,"Formation herbacée d'origine anthropique diversifiée, dense et haute à dominante graminéenne, fauchée et/ou pâturée, humide à mouillée (nappe affleurante) une partie de l'année, périodiquement inondée. Les prairies alluviales à Arrhenatherum elatius à tendance mésohygrophile des niveaux topo supérieurs sont traitées sous PM. Les formations basses méditerranéennes à Deschampsia media sont comprises dans PH.",HERBA,.001.021
PHYSIOGNOMY_TYPE,PM,Prairie mésophile,Prairie mésophile,"Formation diversifiée d'origine anthropique, dense et haute à dominante graminéenne de hauteur supérieure à 50 cm, fauchée et/ou pâturée, temporairement humide, exceptionnellement inondée et mouillée. Les formations semi hautes pâturées d'altitude ne sont pas comprises. La hauteur de certaines formations (ex. formation dense à Brome érigé) doit examinées attentivement pour distinguer la pelouse de la prairie. Les formations naturelles montagnardes à hautes herbes mixte (graminées et dicotylédones) sont à coder sous MG Mégaphorbiaie.",Prairie mésophile,"Formation diversifiée d'origine anthropique, dense et haute à dominante graminéenne de hauteur supérieure à 50 cm, fauchée et/ou pâturée, temporairement humide, exceptionnellement inondée et mouillée. Les formations semi hautes pâturées d'altitude ne sont pas comprises. La hauteur de certaines formations (ex. formation dense à Brome érigé) doit examinées attentivement pour distinguer la pelouse de la prairie. Les formations naturelles montagnardes à hautes herbes mixte (graminées et dicotylédones) sont à coder sous MG Mégaphorbiaie.",HERBA,.001.022
PHYSIOGNOMY_TYPE,PS,Pelouse,Pelouse (de basse et moyenne altitude),"Formation basse diversifiée, de hauteur moyenne inférieure à 50 cm à dominante graminéenne, des sols maigres des étages planitiaire, collinéen et montagnard. Recouvrement minéral variable, comprend aussi les pelouses rocailleuses de colonisation d'éboulis et des roches altérées. La hauteur de certaines formations (ex. formation dense à Brome érigé) doit examinées attentivement pour distinguer la pelouse de la prairie.",Pelouse (de basse et moyenne altitude),"Formation basse diversifiée, de hauteur moyenne inférieure à 50 cm à dominante graminéenne, des sols maigres des étages planitiaire, collinéen et montagnard. Recouvrement minéral variable, comprend aussi les pelouses rocailleuses de colonisation d'éboulis et des roches altérées. La hauteur de certaines formations (ex. formation dense à Brome érigé) doit examinées attentivement pour distinguer la pelouse de la prairie.",HERBA,.001.023
PHYSIOGNOMY_TYPE,RB,Petits hélophytes,Petits hélophytes (Communauté de),"Formation souvent clairsemée de petits hélophytes non graminoïdes des eaux stagnantes peu profondes à niveau variable (Sparganium sppl., Alisma sppl., Equisetum fluviatile, Oenanthe aquatica, Rorippa amphibia, Butomus umbellatus, Sagitaria sagitifolia), également appelé roselière basse.",Petits hélophytes (Communauté de),"Formation souvent clairsemée de petits hélophytes non graminoïdes des eaux stagnantes peu profondes à niveau variable (Sparganium sppl., Alisma sppl., Equisetum fluviatile, Oenanthe aquatica, Rorippa amphibia, Butomus umbellatus, Sagitaria sagitifolia), également appelé roselière basse.",HERBA,.001.024
PHYSIOGNOMY_TYPE,RO,Parois et façades rocheuses,Parois et façades rocheuses (Végétation des),"Formation clairsemée des anfractuosités rocheuses, végétation saxicole au sens strict, incluant la végétation des rochers frais méridionaux mais pas les suintement quasi permanents",Parois et façades rocheuses (Végétation des),"Formation clairsemée des anfractuosités rocheuses, végétation saxicole au sens strict, incluant la végétation des rochers frais méridionaux mais pas les suintement quasi permanents",HERBA,.001.025
PHYSIOGNOMY_TYPE,RU,Friche herbacée et végétation rudérale,Friche herbacée et végétation rudérale,"Formation dominée par des espèces annuelles et/ou bisannuelles des terrains agricoles, urbains, industriels irrégulièrement perturbé, souvent nitrophile. Comprend aussi la végétation rudérale vivace  des reposoirs à bestiaux et des friches à graminées (chiendent) sur anciens terrains agricoles. Comprend également les formations vivaces de substitution de xénopytes (Reynoutria japonica/ bohemica ou Impatiens glandulifera. lisières nitrophiles ?",Friche herbacée et végétation rudérale,"Formation dominée par des espèces annuelles et/ou bisannuelles des terrains agricoles, urbains, industriels irrégulièrement perturbé, souvent nitrophile. Comprend aussi la végétation rudérale vivace  des reposoirs à bestiaux et des friches à graminées (chiendent) sur anciens terrains agricoles. Comprend également les formations vivaces de substitution de xénopytes (Reynoutria japonica/ bohemica ou Impatiens glandulifera. lisières nitrophiles ?",HERBA,.001.026
PHYSIOGNOMY_TYPE,TH,Pelouse pionnière annuelle,Pelouse pionnière annuelle,"Formation très ouverte primaire dominée par espèces annuelles de petite taille à cycle court, fréquemment sur substrats fins et mobiles",Pelouse pionnière annuelle,"Formation très ouverte primaire dominée par espèces annuelles de petite taille à cycle court, fréquemment sur substrats fins et mobiles",HERBA,.001.027
PHYSIOGNOMY_TYPE,SARBU,Sous-arbustive,Strate sous-arbustive,Physionomies de la strate sous-arbustive,Strate sous-arbustive,Physionomies de la strate sous-arbustive,0,.002
PHYSIOGNOMY_TYPE,LA,Lande,Lande  (et landine),Formation végétale dominée par des petits chaméphytes (landines) ou des grands chaméphytes (landes). Les seuils de recouvrement de la strate sous-arbustive sont donnés dans « Physionomies complexes ».,Lande  (et landine),Formation végétale dominée par des petits chaméphytes (landines) ou des grands chaméphytes (landes). Les seuils de recouvrement de la strate sous-arbustive sont donnés dans « Physionomies complexes ».,SARBU,.002.001
PHYSIOGNOMY_TYPE,GA,Garrigue,Garrigue  (incluant les ourlets herbacés méditerranéens),Formation végétale dominée par des chaméphytes des secteurs supra- et oro-méditerranéens,Garrigue  (incluant les ourlets herbacés méditerranéens),Formation végétale dominée par des chaméphytes des secteurs supra- et oro-méditerranéens,SARBU,.002.002
PHYSIOGNOMY_TYPE,ARBU,Arbustive,Strate arbustive,Physionomies de la strate arbustive,Strate arbustive,Physionomies de la strate arbustive,0,.003
PHYSIOGNOMY_TYPE,FM,Fourré mésophile,Fourré mésophile (mésophile à sec),"Formation dominée des espèces caducifoliées des autres situations (Coryllaie, coudraie, accru à …, fourré à Amelanchier, …). ",Fourré mésophile (mésophile à sec),"Formation dominée des espèces caducifoliées des autres situations (Coryllaie, coudraie, accru à …, fourré à Amelanchier, …). ",ARBU,.003.001
PHYSIOGNOMY_TYPE,FR,Fourré artificiel,Fourré artificiel,ex. : haie bocagère,Fourré artificiel,ex. : haie bocagère,ARBU,.003.002
PHYSIOGNOMY_TYPE,FS,Fourré sempervirent,Fourré sempervirent,"Formation dominée par des espèces à feuillage persistant, épineuses ou non",Fourré sempervirent,"Formation dominée par des espèces à feuillage persistant, épineuses ou non",ARBU,.003.003
PHYSIOGNOMY_TYPE,FU,Fourré humide,Fourré humide,"Formation dominée des des espèces caducifoliées des sols engorgés, des bordures d'eaux calmes et courantes (saulaie arbustive, fourré à bourdaine, …). Les aulnaies vertes sont traitées sous FM",Fourré humide,"Formation dominée des des espèces caducifoliées des sols engorgés, des bordures d'eaux calmes et courantes (saulaie arbustive, fourré à bourdaine, …). Les aulnaies vertes sont traitées sous FM",ARBU,.003.004
PHYSIOGNOMY_TYPE,ARBO,Arborescente,Strate arborescente,Physionomies de la strate arborescente,Strate arborescente,Physionomies de la strate arborescente,0,.004
PHYSIOGNOMY_TYPE,BA,Boisement artificiel,Boisement artificiel,,Boisement artificiel,,ARBO,.004.001
PHYSIOGNOMY_TYPE,BCH,Boisement de conifères humide,Boisement de conifères humide,Formation dominée par les conifères ( > 75 %  recouvrement) des sols humides ou engorgés. Les pré-bois de Pin à crochet sur tourbe sont considérés comme des formations arborescentes dès 15 % de recouvrement (au lieu de 30 % pour les autres essences).,Boisement de conifères humide,Formation dominée par les conifères ( > 75 %  recouvrement) des sols humides ou engorgés. Les pré-bois de Pin à crochet sur tourbe sont considérés comme des formations arborescentes dès 15 % de recouvrement (au lieu de 30 % pour les autres essences).,ARBO,.004.002
PHYSIOGNOMY_TYPE,BCM,Boisement de conifère,Boisement de conifère  (mésophile à sec),"Formation dominée par les conifères (> 75 %  recouvrement) des situations  sèches ou mésophiles. Les pré-bois de Mélèze, Arolle, Pin à crochet et de Thurifère sont considérés comme des formations arborescentes dès 15 % de recouvrement (au lieu de 30 % pour les autres essences).",Boisement de conifère  (mésophile à sec),"Formation dominée par les conifères (> 75 %  recouvrement) des situations  sèches ou mésophiles. Les pré-bois de Mélèze, Arolle, Pin à crochet et de Thurifère sont considérés comme des formations arborescentes dès 15 % de recouvrement (au lieu de 30 % pour les autres essences).",ARBO,.004.003
PHYSIOGNOMY_TYPE,BFH,Boisement feuillu humide,Boisement feuillu humide,Formation dominée par des espèces feuillues  (> 75 % de recouvrement) caducifoliées des sols engorgés (nappe affleurante ou peu profonde) et des situations alluviales et riveraines (nappe  circulante à niveau variable et crues). Les boisements à sous bois de mégaphorbiaie non riverain ou alluviaux sont traités sous BFM.,Boisement feuillu humide,Formation dominée par des espèces feuillues  (> 75 % de recouvrement) caducifoliées des sols engorgés (nappe affleurante ou peu profonde) et des situations alluviales et riveraines (nappe  circulante à niveau variable et crues). Les boisements à sous bois de mégaphorbiaie non riverain ou alluviaux sont traités sous BFM.,ARBO,.004.004
PHYSIOGNOMY_TYPE,BFM,Boisement feuillu,Boisement feuillu  (mésophile à sec),"Formation dominée par des espèces feuillues  (> 75 % de recouvrement) caducifoliées des autres situations, sèches ou mésophiles",Boisement feuillu  (mésophile à sec),"Formation dominée par des espèces feuillues  (> 75 % de recouvrement) caducifoliées des autres situations, sèches ou mésophiles",ARBO,.004.005
PHYSIOGNOMY_TYPE,BFS,Boisement feuillu sempervirent,Boisement feuillu sempervirent,Formation dominée par des espèces feuillues  (> 75 % de recouvrement) sempervirentes,Boisement feuillu sempervirent,Formation dominée par des espèces feuillues  (> 75 % de recouvrement) sempervirentes,ARBO,.004.006
PHYSIOGNOMY_TYPE,BMI,Boisement mixte,"Boisement mixte  (conifères/feuillus, sempervirent/caduc.)",Formation mixte conifères/feuillus ou feuillus sempervirents/feuillus caducifolié dans laquelle aucune des essences atteint individuellement 75 % de la surface. Les combinaisons mixte d’essences sont retenues dans la liste de peuplements.,"Boisement mixte  (conifères/feuillus, sempervirent/caduc.)",Formation mixte conifères/feuillus ou feuillus sempervirents/feuillus caducifolié dans laquelle aucune des essences atteint individuellement 75 % de la surface. Les combinaisons mixte d’essences sont retenues dans la liste de peuplements.,ARBO,.004.007
